Path,URL,Size in bytes (optional but recommended),MD5 Hash (optional but recommended),Filter Terms (optional),Overwrite (optional),Comments (optional)
docs/ODYSSEY2/Manuals/4 in 1 Row.pdf,https://archive.org/download/mister-manuals/1978_Magnavox%20Odyssey%202.zip/1978_Magnavox%20Odyssey%202%2F4%20in%201%20Row.pdf,833637,dbb24025975feee6d87414b3675d1c78,,,4 in 1 Row.pdf
docs/ODYSSEY2/Manuals/Air Battle.pdf,https://archive.org/download/mister-manuals/1978_Magnavox%20Odyssey%202.zip/1978_Magnavox%20Odyssey%202%2FAir%20Battle.pdf,566208,f1af6d720c97b1df8561e8911f5705d1,,,Air Battle.pdf
docs/ODYSSEY2/Manuals/Alien Invaders - Plus!.pdf,https://archive.org/download/mister-manuals/1978_Magnavox%20Odyssey%202.zip/1978_Magnavox%20Odyssey%202%2FAlien%20Invaders%20-%20Plus%21.pdf,896768,d42f84be731034d458e7b005000029d3,,,Alien Invaders - Plus!.pdf
docs/ODYSSEY2/Manuals/Alpine Skiing!.pdf,https://archive.org/download/mister-manuals/1978_Magnavox%20Odyssey%202.zip/1978_Magnavox%20Odyssey%202%2FAlpine%20Skiing%21.pdf,716199,38a1ec3d5a29aab6933fdc4ae084829e,,,Alpine Skiing!.pdf
docs/ODYSSEY2/Manuals/Armored Encounter! + Sub Chase!.pdf,https://archive.org/download/mister-manuals/1978_Magnavox%20Odyssey%202.zip/1978_Magnavox%20Odyssey%202%2FArmored%20Encounter%21%20%2B%20Sub%20Chase%21.pdf,355233,b855f351d4090b0374dc45d9c4d20da3,,,Armored Encounter! + Sub Chase!.pdf
docs/ODYSSEY2/Manuals/Atlantis.pdf,https://archive.org/download/mister-manuals/1978_Magnavox%20Odyssey%202.zip/1978_Magnavox%20Odyssey%202%2FAtlantis.pdf,339695,279599341d0f8897a89a65b6374749b8,,,Atlantis.pdf
docs/ODYSSEY2/Manuals/Attack of the Timelord!.pdf,https://archive.org/download/mister-manuals/1978_Magnavox%20Odyssey%202.zip/1978_Magnavox%20Odyssey%202%2FAttack%20of%20the%20Timelord%21.pdf,2057205,98f3871afa7738c72a44d7e191e50eb7,,,Attack of the Timelord!.pdf
docs/ODYSSEY2/Manuals/Backgammon.pdf,https://archive.org/download/mister-manuals/1978_Magnavox%20Odyssey%202.zip/1978_Magnavox%20Odyssey%202%2FBackgammon.pdf,5944902,48249e08c22d65ce75df9bb111a055cd,,,Backgammon.pdf
docs/ODYSSEY2/Manuals/Baseball!.pdf,https://archive.org/download/mister-manuals/1978_Magnavox%20Odyssey%202.zip/1978_Magnavox%20Odyssey%202%2FBaseball%21.pdf,838337,eec8306f73d2faabfbc4ad6d36959c62,,,Baseball!.pdf
"docs/ODYSSEY2/Manuals/Blobbers, The.pdf",https://archive.org/download/mister-manuals/1978_Magnavox%20Odyssey%202.zip/1978_Magnavox%20Odyssey%202%2FBlobbers%2C%20The.pdf,839927,26d72404e372f062032a54b3518c9659,,,"Blobbers, The.pdf"
